species,group name,salt conc,shoot fw,root fw,total fw,shoot dw,root dw,total dw,shoot height,root length,leaf no,shoot height ratio to control mean,root length ratio to control mean,leaf no ratio to control mean,fw root shoot ratio,dw root shoot ratio,shoot moisture,root moisture,total moisture,notes
barley,Fermenters,0,0.485,0.509,0.969,0.064,0.056,,27.8,18.1,3,,,,,,,,,"Pink stem, no discolouration"
barley,Fermenters,1.5,0.422,0.368,0.81,0.055,0.044,,24,17.4,3,,,,,,,,,"Pink stem closer to seed, no discolouration"
barley,Fermenters,2.5,0.569,0.56,1.153,0.078,0.057,,28.8,21,3,,,,,,,,,"Pink stem, no discolouration"
barley,Fermenters,5,0.286,0.205,0.504,0.048,0.026,,22.7,11.9,2,,,,,,,,,"Pink stem halway up, no discolouration"
barley,Fermenters,10,0.364,0.117,0.485,0.065,0.016,,22.4,14,2,,,,,,,,,"Clear and green stem, no discolouration"
barley,Fermenters,15,0.264,0.069,0.386,0.048,0.01,,17.4,12.1,2,,,,,,,,,"Clear and green stem, no discolouration"
barley,The Stomatal Conductors,0,,,,0.064,0.068,,,,,,,,,,,,,
barley,The Stomatal Conductors,1.5,,,,0.095,0.073,,,,,,,,,,,,,
barley,The Stomatal Conductors,2.5,,,,0.088,0.062,,,,,,,,,,,,,
barley,The Stomatal Conductors,5,,,,0.081,0.042,,,,,,,,,,,,,
barley,The Stomatal Conductors,10,,,,0.06,0.024,,,,,,,,,,,,,
barley,The Stomatal Conductors,15,,,,0.046,0.011,,,,,,,,,,,,,
