temp,do_consumed
15,9.889
18,-8.049
21,4.321
24,6.938
27,-7.732
30,9.103
15,-5.877
18,67.580
21,9.051
24,104.572
27,12.730
30,27.076
15,3.803
18,54.065
21,96.422
24,125.855
27,16.359
30,50.141
15,6.340
18,49.681
21,76.079
24,110.876
27,35.138
30,54.610
15,-20.571
18,6.073
21,58.732
24,86.450
27,138.781
30,152.445
15,-3.526
18,27.168
21,73.230
24,53.470
27,-22.026
30,38.951
15,-12.122
18,-4.967
21,-1.738
24,49.875
27,13.678
30,41.769
15,2.197
18,11.603
21,8.333
24,7.743
27,-13.376
30,-14.604
15,16.161
18,71.955
21,11.000
24,123.330
27,28.544
30,28.387
15,9.471
18,21.908
21,66.713
24,14.768
27,101.039
30,93.136
15,-11.111
18,-11.033
21,0.000
24,50.201
27,16.548
30,49.954
15,11.548
18,7.275
21,69.218
24,104.272
27,58.716
30,167.079
