species,group_name,salt_conc,shoot_fw,root_fw,total_fw,shoot_dw,root_dw,total_dw,shoot_height,root_length,leaf_no,shoot_height_ratio_to_control_mean,root_length_ratio_to_control_mean,leaf_no_ratio_to_control_mean,fw_shoot_root_ratio,dw_shoot_root_ratio,shoot_moisture,root_moisture,total_moisture
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
